Vehicle Make,Vehicle Model,PASS,FAIL,Total,PASS %,FAIL %
ALFA ROMEO,147,33,76,109,30.275229357798167,69.72477064220183
ALFA ROMEO,156,39,76,115,33.91304347826087,66.08695652173913
ALFA ROMEO,159,144,241,385,37.4025974025974,62.5974025974026
ALFA ROMEO,166,2,6,8,25.0,75.0
ALFA ROMEO,BRERA,13,14,27,48.148148148148145,51.85185185185185
ALFA ROMEO,GIULIA,84,48,132,63.63636363636363,36.36363636363637
ALFA ROMEO,GIULIETTA,196,124,320,61.25000000000001,38.75
ALFA ROMEO,GT,51,103,154,33.116883116883116,66.88311688311688
ALFA ROMEO,MITO,64,55,119,53.78151260504202,46.21848739495798
ALFA ROMEO,OTHER,223,223,446,50.0,50.0
ALFA ROMEO,SPIDER,12,27,39,30.76923076923077,69.23076923076923
ALFA ROMEO,STELVIO,5,2,7,71.42857142857143,28.57142857142857
ASTON MARTIN,OTHER,26,4,30,86.66666666666667,13.333333333333334
AUDI,80,22,36,58,37.93103448275862,62.06896551724138
AUDI,A1,2653,1180,3833,69.2147143229846,30.785285677015395
AUDI,A2,37,73,110,33.63636363636363,66.36363636363637
AUDI,A3,10408,7764,18172,57.274928461369136,42.72507153863086
AUDI,A3 1.2,34,27,61,55.73770491803278,44.26229508196721
AUDI,A4,14912,15770,30682,48.601786063489996,51.398213936510004
AUDI,A4 1.9 TDI 90BHP 5DR,258,638,896,28.794642857142854,71.20535714285714
AUDI,A4 1.9 TDI SE 130BHP 4DR,54,139,193,27.979274611398964,72.02072538860104
AUDI,A4 ALLROAD,3,5,8,37.5,62.5
AUDI,A4 CABRIOLET,6,15,21,28.57142857142857,71.42857142857143
AUDI,A4 SE,9,4,13,69.23076923076923,30.76923076923077
AUDI,A4A,156,182,338,46.15384615384615,53.84615384615385
AUDI,A5,4304,2708,7012,61.380490587564175,38.619509412435825
AUDI,A5 CABRIOLET,67,36,103,65.0485436893204,34.95145631067961
AUDI,A6,12032,7382,19414,61.975893684969606,38.024106315030394
AUDI,A6A,3,4,7,42.857142857142854,57.14285714285714
AUDI,A7,264,117,381,69.29133858267717,30.708661417322837
AUDI,A7 TDI,449,193,642,69.93769470404985,30.062305295950154
AUDI,A8,348,139,487,71.45790554414785,28.54209445585216
AUDI,A8L,15,6,21,71.42857142857143,28.57142857142857
AUDI,ALLROAD,1,5,6,16.666666666666664,83.33333333333334
AUDI,E-TRON,36,8,44,81.81818181818183,18.181818181818183
AUDI,OTHER,23,44,67,34.32835820895522,65.67164179104478
AUDI,Q2,723,86,809,89.36959208899876,10.630407911001235
AUDI,Q3,1536,494,2030,75.66502463054188,24.334975369458128
AUDI,Q5,1559,697,2256,69.10460992907801,30.895390070921984
AUDI,Q7,757,407,1164,65.03436426116839,34.965635738831615
AUDI,Q8,43,10,53,81.13207547169812,18.867924528301888
AUDI,R8,15,3,18,83.33333333333334,16.666666666666664
AUDI,RS4,21,19,40,52.5,47.5
AUDI,S3,112,95,207,54.106280193236714,45.893719806763286
AUDI,S4,8,5,13,61.53846153846154,38.46153846153847
AUDI,S5,20,4,24,83.33333333333334,16.666666666666664
AUDI,SQ5,8,6,14,57.14285714285714,42.857142857142854
AUDI,SQ7,9,7,16,56.25,43.75
AUDI,TT,828,642,1470,56.326530612244895,43.673469387755105
AUDI,TTC,44,6,50,88.0,12.0
AUDI,TTS,9,9,18,50.0,50.0
AUSTIN,COOPER,5,16,21,23.809523809523807,76.19047619047619
AUSTIN,MINI,13,43,56,23.214285714285715,76.78571428571429
BENTLEY,OTHER,33,17,50,66.0,34.0
BINZ,OTHER,6,7,13,46.15384615384615,53.84615384615385
BMW,114,100,81,181,55.24861878453039,44.751381215469614
